Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5084501890,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Josh Hart (42221142),Cam Spencer (42221262),Aaron Gordon (42221147),Jonas Valanciunas (42221413),Darius Garland (42221128),Bennedict Mathurin (42221150),Nic Claxton (42221205),,1. Column A lists all of your contest entries for this draftgroup
5084501891,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Mikal Bridges (42221159),Jaylon Tyson (42221179),Nic Claxton (42221205),Darius Garland (42221128),Bennedict Mathurin (42221150),Mitchell Robinson (42221367),,2. Your current lineup is listed next to each entry (blank for reservations)
5084501892,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Wiggins (42221276),Nikola Jokic (42221043),Darius Garland (42221128),Jaylen Wells (42221259),Nic Claxton (42221205),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5084501893,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Draymond Green (42221192),Andre Drummond (42221280),Keyonte George (42221092),Bennedict Mathurin (42221150),Darius Garland (42221128),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5084501894,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Darius Garland (42221128),Josh Hart (42221142),Mikal Bridges (42221159),Spencer Jones (42221410),Nikola Jokic (42221043),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Nic Claxton (42221205),,5. For faster processing only include entries you are changing in the file you upload
5084501895,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Cam Spencer (42221262),Kawhi Leonard (42221051),Noah Clowney (42221229),Nic Claxton (42221205),Darius Garland (42221128),Mikal Bridges (42221159),Mitchell Robinson (42221367),,
5084501896,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Kris Dunn (42221248),Tim Hardaway Jr. (42221289),Aaron Gordon (42221147),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Keyonte George (42221092),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5084502011,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Jordan Miller (42221369),Kawhi Leonard (42221051),Jaylon Tyson (42221179),Mitchell Robinson (42221367),Keyonte George (42221092),Evan Mobley (42221079),Bennedict Mathurin (42221150),,PF,Mohamed Diawara (42221430),Mohamed Diawara,42221430,PF/F/UTIL,3500,NYK@LAC 03/09/2026 10:00PM ET,NYK,6.68
5084502012,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),De'Anthony Melton (42221170),Mikal Bridges (42221159),Aaron Gordon (42221147),Day'Ron Sharpe (42221238),Cam Spencer (42221262),Evan Mobley (42221079),Jaylen Wells (42221259),,PG/SG,Jalen Pickett (42221433),Jalen Pickett,42221433,PG/SG/G/UTIL,3500,DEN@OKC 03/09/2026 07:30PM ET,DEN,13.13
5084502013,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,James Harden (42221059),Josh Hart (42221142),Mikal Bridges (42221159),Jaylon Tyson (42221179),Day'Ron Sharpe (42221238),Keyonte George (42221092),Tim Hardaway Jr. (42221289),Andre Drummond (42221280),,PF,Blake Hinson (42221441),Blake Hinson,42221441,PF/F/UTIL,3400,GSW@UTA 03/09/2026 09:00PM ET,UTA,14.39
5084502014,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Josh Hart (42221142),Jaylen Wells (42221259),Jaylon Tyson (42221179),Nic Claxton (42221205),James Harden (42221059),Evan Mobley (42221079),Aaron Wiggins (42221276),,SF,Nate Williams (42221444),Nate Williams,42221444,SF/F/UTIL,3400,GSW@UTA 03/09/2026 09:00PM ET,GSW,12.12
5084502015,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Kris Dunn (42221248),Josh Hart (42221142),Kawhi Leonard (42221051),Jaylon Tyson (42221179),Day'Ron Sharpe (42221238),Cam Spencer (42221262),Evan Mobley (42221079),Jaylen Wells (42221259),,PG/SG,Tyrese Martin (42221437),Tyrese Martin,42221437,PG/SG/G/UTIL,3400,PHI@CLE 03/09/2026 07:00PM ET,PHI,14.52
5084502016,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Cam Spencer (42221262),Jaylon Tyson (42221179),OG Anunoby (42221111),Mitchell Robinson (42221367),Shai Gilgeous-Alexander (42221045),Draymond Green (42221192),Darius Garland (42221128),,SF/PF,Ochai Agbaji (42221452),Ochai Agbaji,42221452,SF/PF/F/UTIL,3300,MEM@BKN 03/09/2026 07:30PM ET,BKN,9.75
5084502017,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Keyonte George (42221092),Terance Mann (42221406),Kawhi Leonard (42221051),Noah Clowney (42221229),Kevin Love (42221404),Darius Garland (42221128),Tim Hardaway Jr. (42221289),Evan Mobley (42221079),,PG,L.J. Cryer (42221459),L.J. Cryer,42221459,PG/G/UTIL,3300,GSW@UTA 03/09/2026 09:00PM ET,GSW,7.3
5084502018,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Donovan Mitchell (42221054),Jaylen Wells (42221259),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),Darius Garland (42221128),Cam Spencer (42221262),Nic Claxton (42221205),,C,Mo Bamba (42221462),Mo Bamba,42221462,C/UTIL,3300,GSW@UTA 03/09/2026 09:00PM ET,UTA,11
5084502019,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Jordan Miller (42221369),Kawhi Leonard (42221051),Noah Clowney (42221229),Nic Claxton (42221205),Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Andre Drummond (42221280),,PF,Nae'Qwan Tomlin (42221456),Nae'Qwan Tomlin,42221456,PF/F/UTIL,3300,PHI@CLE 03/09/2026 07:00PM ET,CLE,13.50
5084502020,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Terance Mann (42221406),Jaylen Wells (42221259),Noah Clowney (42221229),Nikola Jokic (42221043),James Harden (42221059),Bennedict Mathurin (42221150),Andre Drummond (42221280),,SG/SF,Jordan Clarkson (42221447),Jordan Clarkson,42221447,SG/SF/F/G/UTIL,3300,NYK@LAC 03/09/2026 10:00PM ET,NYK,14.04
5084502021,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Kris Dunn (42221248),Mikal Bridges (42221159),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),James Harden (42221059),Cam Spencer (42221262),Bennedict Mathurin (42221150),,SG,Svi Mykhailiuk (42221464),Svi Mykhailiuk,42221464,SG/G/UTIL,3200,GSW@UTA 03/09/2026 09:00PM ET,UTA,16.69
5084502022,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Donovan Mitchell (42221054),Jaylen Wells (42221259),Draymond Green (42221192),Nic Claxton (42221205),Keyonte George (42221092),Bennedict Mathurin (42221150),Darius Garland (42221128),,PG,Kyle Lowry (42221471),Kyle Lowry,42221471,PG/G/UTIL,3200,PHI@CLE 03/09/2026 07:00PM ET,PHI,5.19
5084502023,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Kris Dunn (42221248),Mikal Bridges (42221159),Aaron Gordon (42221147),Day'Ron Sharpe (42221238),Darius Garland (42221128),Cam Spencer (42221262),Draymond Green (42221192),,C,Olivier Sarr (42221477),Olivier Sarr,42221477,C/UTIL,3200,PHI@CLE 03/09/2026 07:00PM ET,CLE,0
5084502024,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Cam Spencer (42221262),Kawhi Leonard (42221051),Jaylon Tyson (42221179),Karl-Anthony Towns (42221074),Keyonte George (42221092),Tim Hardaway Jr. (42221289),Andre Drummond (42221280),,SF/PF,Brooks Barnhizer (42221467),Brooks Barnhizer,42221467,SF/PF/F/UTIL,3200,DEN@OKC 03/09/2026 07:30PM ET,OKC,4.96
5084502025,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Donovan Mitchell (42221054),Mikal Bridges (42221159),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),Jose Alvarado (42221418),Cam Spencer (42221262),Nic Claxton (42221205),,PF,David Roddy (42221474),David Roddy,42221474,PF/F/UTIL,3200,DEN@OKC 03/09/2026 07:30PM ET,DEN,3.5
5084502026,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Donovan Mitchell (42221054),Kawhi Leonard (42221051),Aaron Gordon (42221147),Andre Drummond (42221280),Cam Spencer (42221262),Tim Hardaway Jr. (42221289),Bennedict Mathurin (42221150),,PG/SG,Seth Curry (42221492),Seth Curry,42221492,PG/SG/G/UTIL,3100,GSW@UTA 03/09/2026 09:00PM ET,GSW,14.25
5084502027,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Cason Wallace (42221200),Mikal Bridges (42221159),OG Anunoby (42221111),Draymond Green (42221192),James Harden (42221059),Aaron Gordon (42221147),Darius Garland (42221128),,PF/C,Larry Nance Jr. (42221488),Larry Nance Jr.,42221488,PF/C/F/UTIL,3100,PHI@CLE 03/09/2026 07:00PM ET,CLE,9.51
5084502028,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Jordan Miller (42221369),Jaylen Wells (42221259),Dominick Barlow (42221328),Nikola Jokic (42221043),Keyonte George (42221092),Bennedict Mathurin (42221150),Darius Garland (42221128),,PG,Tyler Kolek (42221479),Tyler Kolek,42221479,PG/G/UTIL,3100,NYK@LAC 03/09/2026 10:00PM ET,NYK,12.07
5084502029,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Cam Spencer (42221262),Kawhi Leonard (42221051),Jaylon Tyson (42221179),Mitchell Robinson (42221367),James Harden (42221059),Bennedict Mathurin (42221150),Jaylen Wells (42221259),,SF/PF,Jeremy Sochan (42221484),Jeremy Sochan,42221484,SF/PF/F/UTIL,3100,NYK@LAC 03/09/2026 10:00PM ET,NYK,8.43
5084502030,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Donovan Mitchell (42221054),Cam Spencer (42221262),Dominick Barlow (42221328),Kevin Love (42221404),James Harden (42221059),Bennedict Mathurin (42221150),Keyonte George (42221092),,C,Zeke Nnaji (42221482),Zeke Nnaji,42221482,C/UTIL,3100,DEN@OKC 03/09/2026 07:30PM ET,DEN,9.67
5084502031,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jalen Brunson (42221062),Jordan Miller (42221369),Jaylen Wells (42221259),OG Anunoby (42221111),Mitchell Robinson (42221367),Josh Hart (42221142),Evan Mobley (42221079),Bennedict Mathurin (42221150),,SG,Kentavious Caldwell-Pope (42221499),Kentavious Caldwell-Pope,42221499,SG/G/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,MEM,17.48
5084502032,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jalen Brunson (42221062),Terance Mann (42221406),Mikal Bridges (42221159),OG Anunoby (42221111),Nic Claxton (42221205),James Harden (42221059),Noah Clowney (42221229),Mitchell Robinson (42221367),,SG,Drake Powell (42221504),Drake Powell,42221504,SG/G/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,11.46
5084502033,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Kris Dunn (42221248),Jaylen Wells (42221259),Aaron Gordon (42221147),Andre Drummond (42221280),Shai Gilgeous-Alexander (42221045),Evan Mobley (42221079),Darius Garland (42221128),,PF,Jalen Wilson (42221520),Jalen Wilson,42221520,PF/F/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,8.81
5084502034,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Kris Dunn (42221248),Mikal Bridges (42221159),Danny Wolf (42221306),Nic Claxton (42221205),Donovan Mitchell (42221054),Jaylen Wells (42221259),Terance Mann (42221406),,SF/PF,Josh Minott (42221529),Josh Minott,42221529,SF/PF/F/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,13.31
5084502035,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Terance Mann (42221406),Mikal Bridges (42221159),Evan Mobley (42221079),Andre Drummond (42221280),Shai Gilgeous-Alexander (42221045),Jaylen Wells (42221259),Keyonte George (42221092),,PG,Ben Saraf (42221542),Ben Saraf,42221542,PG/G/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,11.82
5084502036,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Jose Alvarado (42221418),Cam Spencer (42221262),Kawhi Leonard (42221051),Aaron Gordon (42221147),Karl-Anthony Towns (42221074),Darius Garland (42221128),Jaylon Tyson (42221179),Andre Drummond (42221280),,C,E.J. Liddell (42221570),E.J. Liddell,42221570,C/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,3.98
5084502037,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Shai Gilgeous-Alexander (42221045),Josh Hart (42221142),Mikal Bridges (42221159),Aaron Gordon (42221147),Nic Claxton (42221205),Darius Garland (42221128),Cam Spencer (42221262),Kevin Love (42221404),,PG,Tyson Etienne (42221575),Tyson Etienne,42221575,PG/G/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,1.88
5084502038,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Cam Spencer (42221262),Jaylen Wells (42221259),Aaron Gordon (42221147),Nikola Jokic (42221043),Darius Garland (42221128),Bennedict Mathurin (42221150),Kevin Love (42221404),,C,Grant Nelson (42221596),Grant Nelson,42221596,C/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,10.5
5084502039,NBA $30K mini-MAX [150 Entry Max],188681836,$0.50,Dennis Schroder (42221232),Terance Mann (42221406),Jaylon Tyson (42221179),Noah Clowney (42221229),Karl-Anthony Towns (42221074),Jose Alvarado (42221418),Evan Mobley (42221079),James Harden (42221059),,PF/C,Brandon Clarke (42221610),Brandon Clarke,42221610,PF/C/F/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,MEM,10.5
,,,,,,,,,,,,,PF,Chaney Johnson (42221620),Chaney Johnson,42221620,PF/F/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,BKN,0
,,,,,,,,,,,,,C,Taj Gibson (42221625),Taj Gibson,42221625,C/UTIL,3000,MEM@BKN 03/09/2026 07:30PM ET,MEM,0
,,,,,,,,,,,,,C,Jaren Jackson Jr. (42221502),Jaren Jackson Jr.,42221502,C/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,UTA,34.35
,,,,,,,,,,,,,C,Jusuf Nurkic (42221518),Jusuf Nurkic,42221518,C/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,UTA,34.52
,,,,,,,,,,,,,PG,Vince Williams Jr. (42221523),Vince Williams Jr.,42221523,PG/G/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,UTA,20.67
,,,,,,,,,,,,,PF,Jimmy Butler (42221526),Jimmy Butler,42221526,PF/F/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,GSW,37.31
,,,,,,,,,,,,,PF,Malevy Leons (42221567),Malevy Leons,42221567,PF/F/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,GSW,7.32
,,,,,,,,,,,,,C,Walker Kessler (42221585),Walker Kessler,42221585,C/UTIL,3000,GSW@UTA 03/09/2026 09:00PM ET,UTA,38.4
,,,,,,,,,,,,,PG/SG,Tyrese Proctor (42221512),Tyrese Proctor,42221512,PG/SG/G/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,CLE,8.95
,,,,,,,,,,,,,SF,Dalen Terry (42221533),Dalen Terry,42221533,SF/F/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,PHI,9.35
,,,,,,,,,,,,,SF,Paul George (42221545),Paul George,42221545,SF/F/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,PHI,32.34
,,,,,,,,,,,,,C,Johni Broome (42221563),Johni Broome,42221563,C/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,PHI,4.04
,,,,,,,,,,,,,SF/PF,Tristan Enaruna (42221592),Tristan Enaruna,42221592,SF/PF/F/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,CLE,4.81
,,,,,,,,,,,,,SF,Riley Minix (42221598),Riley Minix,42221598,SF/F/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,CLE,5.17
,,,,,,,,,,,,,SG/SF,Marjon Beauchamp (42221605),Marjon Beauchamp,42221605,SG/SF/F/G/UTIL,3000,PHI@CLE 03/09/2026 07:00PM ET,PHI,21.12
,,,,,,,,,,,,,PF,Nicolas Batum (42221496),Nicolas Batum,42221496,PF/F/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,11.02
,,,,,,,,,,,,,C,Ariel Hukporti (42221507),Ariel Hukporti,42221507,C/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,7.12
,,,,,,,,,,,,,SG,Cam Christie (42221509),Cam Christie,42221509,SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,6.42
,,,,,,,,,,,,,C,Yanic Konan Niederhauser (42221516),Yanic Konan Niederhauser,42221516,C/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,9.74
,,,,,,,,,,,,,PG/SG,Miles McBride (42221538),Miles McBride,42221538,PG/SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,23.44
,,,,,,,,,,,,,SG,Pacome Dadiet (42221548),Pacome Dadiet,42221548,SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,3.10
,,,,,,,,,,,,,PG/SG,Bogdan Bogdanovic (42221553),Bogdan Bogdanovic,42221553,PG/SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,16.60
,,,,,,,,,,,,,PF,Kevin McCullar Jr. (42221557),Kevin McCullar Jr.,42221557,PF/F/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,5.67
,,,,,,,,,,,,,C,Trey Jemison (42221565),Trey Jemison,42221565,C/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,3.32
,,,,,,,,,,,,,PG,TyTy Washington Jr. (42221572),TyTy Washington Jr.,42221572,PG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,6.25
,,,,,,,,,,,,,SG,Bradley Beal (42221578),Bradley Beal,42221578,SG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,12.54
,,,,,,,,,,,,,C,Dillon Jones (42221590),Dillon Jones,42221590,C/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,NYK,5
,,,,,,,,,,,,,PF/C,Norchad Omier (42221601),Norchad Omier,42221601,PF/C/F/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,3.5
,,,,,,,,,,,,,PG,Sean Pedulla (42221617),Sean Pedulla,42221617,PG/G/UTIL,3000,NYK@LAC 03/09/2026 10:00PM ET,LAC,0
,,,,,,,,,,,,,C,Branden Carlson (42221536),Branden Carlson,42221536,C/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,OKC,10.57
,,,,,,,,,,,,,C,DaRon Holmes II (42221551),DaRon Holmes II,42221551,C/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,DEN,8.22
,,,,,,,,,,,,,PG,KJ Simpson (42221560),KJ Simpson,42221560,PG/G/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,DEN,13.18
,,,,,,,,,,,,,PG/SG,Curtis Jones (42221581),Curtis Jones,42221581,PG/SG/G/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,DEN,3.29
,,,,,,,,,,,,,PG,Nikola Topic (42221587),Nikola Topic,42221587,PG/G/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,OKC,7.3
,,,,,,,,,,,,,PF,Payton Sandfort (42221614),Payton Sandfort,42221614,PF/F/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,OKC,0
,,,,,,,,,,,,,C,Thomas Sorber (42221623),Thomas Sorber,42221623,C/UTIL,3000,DEN@OKC 03/09/2026 07:30PM ET,OKC,0
