Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
5090212743,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Bub Carrington (42298224),Bilal Coulibaly (42298215),Will Riley (42298181),Jalen Smith (42298194),Nickeil Alexander-Walker (42298039),Paolo Banchero (42297965),Jock Landale (42298400),,1. Column A lists all of your contest entries for this draftgroup
5090212744,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Corey Kispert (42298448),Herbert Jones (42298244),Jalen Johnson (42297962),Jalen Smith (42298194),Ryan Nembhard (42298417),Paolo Banchero (42297965),Jock Landale (42298400),,2. Your current lineup is listed next to each entry (blank for reservations)
5090212745,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Trey Murphy III (42298024),Herbert Jones (42298244),Deni Avdija (42297983),Jalen Smith (42298194),Jeremiah Fears (42298299),Saddiq Bey (42298079),Yves Missi (42298374),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5090212746,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Brandon Williams (42298190),Cam Spencer (42298198),Jalen Johnson (42297962),Jock Landale (42298400),Tre Jones (42298133),PJ Washington (42298137),Derik Queen (42298270),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5090212747,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Trey Murphy III (42298024),Deni Avdija (42297983),PJ Washington (42298137),Nic Claxton (42298146),Jeremiah Fears (42298299),Patrick Williams (42298402),Jalen Smith (42298194),,5. For faster processing only include entries you are changing in the file you upload
5090212748,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Trey Murphy III (42298024),Cam Spencer (42298198),Zion Williamson (42298033),Marvin Bagley III (42298294),Dejounte Murray (42298021),PJ Washington (42298137),Yves Missi (42298374),,
5090212749,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Tre Johnson (42298321),Bilal Coulibaly (42298215),Derik Queen (42298270),Wendell Carter Jr. (42298165),Desmond Bane (42298003),Tristan da Silva (42298157),Paolo Banchero (42297965),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5090212865,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Bub Carrington (42298224),De'Anthony Melton (42298114),Gui Santos (42298043),Kristaps Porzingis (42298172),Derrick White (42298013),Will Riley (42298181),Tre Johnson (42298321),,SG,Drake Powell (42298357),Drake Powell,42298357,SG/G/UTIL,3900,POR@BKN 03/16/2026 07:30PM ET,BKN,11.76
5090212866,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Trae Young (42298010),Bub Carrington (42298224),Deni Avdija (42297983),Derik Queen (42298270),Olivier-Maxence Prosper (42298176),Trey Murphy III (42298024),Toumani Camara (42298105),Marvin Bagley III (42298294),,C,E.J. Liddell (42298360),E.J. Liddell,42298360,C/UTIL,3900,POR@BKN 03/16/2026 07:30PM ET,BKN,6.07
5090212867,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Ryan Nembhard (42298417),Payton Pritchard (42298098),Jalen Green (42298057),Deni Avdija (42297983),Jock Landale (42298400),Drake Powell (42298357),Jaylen Brown (42297975),Desmond Bane (42298003),,PG/SG,Tyson Etienne (42298362),Tyson Etienne,42298362,PG/SG/G/UTIL,3900,POR@BKN 03/16/2026 07:30PM ET,BKN,5.73
5090212868,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Blake Wesley (42298571),Deni Avdija (42297983),Matas Buzelis (42298018),Jalen Smith (42298194),Payton Pritchard (42298098),Jerami Grant (42298086),Cedric Coward (42298203),,PF/C,Karlo Matkovic (42298353),Karlo Matkovic,42298353,PF/C/F/UTIL,3900,DAL@NOP 03/16/2026 08:00PM ET,NOP,13.72
5090212869,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Tre Jones (42298133),Saddiq Bey (42298079),Zion Williamson (42298033),Donovan Clingan (42298016),Drake Powell (42298357),Kristaps Porzingis (42298172),Jordan Walsh (42298502),,PG,L.J. Cryer (42298368),L.J. Cryer,42298368,PG/G/UTIL,3800,GSW@WAS 03/16/2026 07:00PM ET,GSW,10.81
5090212870,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Max Christie (42298273),Jaylen Wells (42298237),Matas Buzelis (42298018),Olivier-Maxence Prosper (42298176),Cam Spencer (42298198),Deni Avdija (42297983),Jalen Smith (42298194),,C,Goga Bitadze (42298366),Goga Bitadze,42298366,C/UTIL,3800,ORL@ATL 03/16/2026 07:00PM ET,ORL,16.85
5090212871,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Jeremiah Fears (42298299),Jaylen Wells (42298237),Derik Queen (42298270),Jalen Smith (42298194),Dejounte Murray (42298021),Jaylen Brown (42297975),Cam Spencer (42298198),,C,Anthony Gill (42298380),Anthony Gill,42298380,C/UTIL,3700,GSW@WAS 03/16/2026 07:00PM ET,WAS,9.45
5090212872,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Nickeil Alexander-Walker (42298039),Jalen Green (42298057),Herbert Jones (42298244),PJ Washington (42298137),Jalen Smith (42298194),Jaylen Brown (42297975),Kristaps Porzingis (42298172),Derik Queen (42298270),,SF,Nate Williams (42298382),Nate Williams,42298382,SF/F/UTIL,3700,GSW@WAS 03/16/2026 07:00PM ET,GSW,10.64
5090212873,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Dejounte Murray (42298021),Jeremiah Fears (42298299),Cam Spencer (42298198),Matas Buzelis (42298018),Marvin Bagley III (42298294),Nickeil Alexander-Walker (42298039),Zion Williamson (42298033),Kristaps Porzingis (42298172),,SF/PF,Noah Penda (42298376),Noah Penda,42298376,SF/PF/F/UTIL,3700,ORL@ATL 03/16/2026 07:00PM ET,ORL,12.72
5090212874,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Max Christie (42298273),Deni Avdija (42297983),Matas Buzelis (42298018),Marvin Bagley III (42298294),Tre Johnson (42298321),Naji Marshall (42298122),Jalen Smith (42298194),,SG,Terance Mann (42298371),Terance Mann,42298371,SG/G/UTIL,3700,POR@BKN 03/16/2026 07:30PM ET,BKN,17.76
5090212875,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Trey Murphy III (42298024),Max Christie (42298273),Jalen Green (42298057),PJ Washington (42298137),Marvin Bagley III (42298294),Brandon Williams (42298190),Jaylen Brown (42297975),Jalen Smith (42298194),,C,Yves Missi (42298374),Yves Missi,42298374,C/UTIL,3700,DAL@NOP 03/16/2026 08:00PM ET,NOP,17.33
5090212876,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,RayJ Dennis (42298582),Jeremiah Fears (42298299),Tristan da Silva (42298157),Matas Buzelis (42298018),Olivier-Maxence Prosper (42298176),Josh Giddey (42297980),Paolo Banchero (42297965),Jalen Smith (42298194),,SF/PF,Leaky Black (42298396),Leaky Black,42298396,SF/PF/F/UTIL,3600,GSW@WAS 03/16/2026 07:00PM ET,WAS,21.65
5090212877,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jalen Suggs (42298049),Jeremiah Fears (42298299),Deni Avdija (42297983),Justin Champagnie (42298288),Marvin Bagley III (42298294),Naji Marshall (42298122),Paolo Banchero (42297965),Jalen Smith (42298194),,C,Luka Garza (42298385),Luka Garza,42298385,C/UTIL,3600,PHX@BOS 03/16/2026 07:30PM ET,BOS,15.19
5090212878,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Payton Pritchard (42298098),Trey Murphy III (42298024),Jaylen Brown (42297975),Saddiq Bey (42298079),Kristaps Porzingis (42298172),Jeremiah Fears (42298299),Toumani Camara (42298105),Derik Queen (42298270),,PF/C,Rasheer Fleming (42298392),Rasheer Fleming,42298392,PF/C/F/UTIL,3600,PHX@BOS 03/16/2026 07:30PM ET,PHX,7.67
5090212879,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Jordan Goodwin (42298240),Bilal Coulibaly (42298215),Jalen Johnson (42297962),Nic Claxton (42298146),DeJon Jarreau (42298315),Jerami Grant (42298086),Jock Landale (42298400),,SG/SF,Jett Howard (42298387),Jett Howard,42298387,SG/SF/F/G/UTIL,3600,ORL@ATL 03/16/2026 07:00PM ET,ORL,9.88
5090212880,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Bub Carrington (42298224),Herbert Jones (42298244),Saddiq Bey (42298079),Kristaps Porzingis (42298172),Brandin Podziemski (42297996),Zion Williamson (42298033),Derik Queen (42298270),,PF,Patrick Williams (42298402),Patrick Williams,42298402,PF/F/UTIL,3500,MEM@CHI 03/16/2026 08:00PM ET,CHI,14.66
5090212881,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Yuki Kawamura (42298598),Tre Jones (42298133),Jaylen Brown (42297975),Matas Buzelis (42298018),Marvin Bagley III (42298294),Jalen Suggs (42298049),Jayson Tatum (42297990),Goga Bitadze (42298366),,C,Jock Landale (42298400),Jock Landale,42298400,C/UTIL,3500,ORL@ATL 03/16/2026 07:00PM ET,ATL,22.89
5090212882,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Tre Jones (42298133),Jalen Green (42298057),Khris Middleton (42298263),Matas Buzelis (42298018),Kristaps Porzingis (42298172),Grayson Allen (42298071),Zion Williamson (42298033),Derik Queen (42298270),,SF,Jalen Wilson (42298407),Jalen Wilson,42298407,SF/F/UTIL,3500,POR@BKN 03/16/2026 07:30PM ET,BKN,9.22
5090212883,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Scoot Henderson (42298154),Trey Murphy III (42298024),Saddiq Bey (42298079),Zion Williamson (42298033),Donovan Clingan (42298016),Jeremiah Fears (42298299),Bilal Coulibaly (42298215),Wendell Carter Jr. (42298165),,C,Dwight Powell (42298405),Dwight Powell,42298405,C/UTIL,3500,DAL@NOP 03/16/2026 08:00PM ET,DAL,10.82
5090212884,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Trey Murphy III (42298024),Brandon Williams (42298190),Matisse Thybulle (42298496),Deni Avdija (42297983),Jalen Smith (42298194),Jalen Green (42298057),Will Riley (42298181),Donovan Clingan (42298016),,PG/SG,Jordan Poole (42298410),Jordan Poole,42298410,PG/SG/G/UTIL,3500,DAL@NOP 03/16/2026 08:00PM ET,NOP,23.40
5090212885,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Ty Jerome (42298076),Bub Carrington (42298224),Deni Avdija (42297983),Zion Williamson (42298033),Nic Claxton (42298146),Cam Spencer (42298198),Danny Wolf (42298129),Derik Queen (42298270),,PF,Malevy Leons (42298427),Malevy Leons,42298427,PF/F/UTIL,3400,GSW@WAS 03/16/2026 07:00PM ET,GSW,7.55
5090212886,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Collin Gillespie (42298102),Baylor Scheierman (42298318),Bilal Coulibaly (42298215),Jayson Tatum (42297990),Neemias Queta (42298089),Cedric Coward (42298203),Paolo Banchero (42297965),Jeremiah Fears (42298299),,C,Julian Reese (42298430),Julian Reese,42298430,C/UTIL,3400,GSW@WAS 03/16/2026 07:00PM ET,WAS,27.06
5090212887,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Brandin Podziemski (42297996),Trey Murphy III (42298024),Tristan da Silva (42298157),Gui Santos (42298043),Wendell Carter Jr. (42298165),Nickeil Alexander-Walker (42298039),Derik Queen (42298270),Jock Landale (42298400),,SF,Haywood Highsmith (42298432),Haywood Highsmith,42298432,SF/F/UTIL,3400,PHX@BOS 03/16/2026 07:30PM ET,PHX,9.44
5090212888,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Derrick White (42298013),Trey Murphy III (42298024),Tristan da Silva (42298157),PJ Washington (42298137),Yves Missi (42298374),Cedric Coward (42298203),Paolo Banchero (42297965),DeJon Jarreau (42298315),,C,Moritz Wagner (42298425),Moritz Wagner,42298425,C/UTIL,3400,ORL@ATL 03/16/2026 07:00PM ET,ORL,14.81
5090212889,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Jrue Holiday (42298036),Bub Carrington (42298224),Deni Avdija (42297983),PJ Washington (42298137),Donovan Clingan (42298016),Cedric Coward (42298203),Kristaps Porzingis (42298172),DeJon Jarreau (42298315),,SG,Vit Krejci (42298414),Vit Krejci,42298414,SG/G/UTIL,3400,POR@BKN 03/16/2026 07:30PM ET,POR,16.51
5090212890,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Bub Carrington (42298224),Max Christie (42298273),Khris Middleton (42298263),Jalen Johnson (42297962),Marvin Bagley III (42298294),Desmond Bane (42298003),Jayson Tatum (42297990),Luka Garza (42298385),,PG,Ryan Nembhard (42298417),Ryan Nembhard,42298417,PG/G/UTIL,3400,DAL@NOP 03/16/2026 08:00PM ET,DAL,16.30
5090212891,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Josh Giddey (42297980),Devin Booker (42297971),Will Riley (42298181),Justin Champagnie (42298288),Nic Claxton (42298146),Derrick White (42298013),Corey Kispert (42298448),Brandon Williams (42298190),,SG/SF,Bryce McGowens (42298420),Bryce McGowens,42298420,SG/SF/F/G/UTIL,3400,DAL@NOP 03/16/2026 08:00PM ET,NOP,14.84
5090212892,NBA $25K mini-MAX [150 Entry Max],188895738,$0.50,Brandin Podziemski (42297996),Baylor Scheierman (42298318),Desmond Bane (42298003),Matas Buzelis (42298018),Kristaps Porzingis (42298172),Tre Jones (42298133),PJ Washington (42298137),Derik Queen (42298270),,PG,Sharife Cooper (42298458),Sharife Cooper,42298458,PG/G/UTIL,3300,GSW@WAS 03/16/2026 07:00PM ET,WAS,12.9
,,,,,,,,,,,,,C,Omer Yurtseven (42308688),Omer Yurtseven,42308688,C/UTIL,3300,GSW@WAS 03/16/2026 07:00PM ET,GSW,4.5
,,,,,,,,,,,,,PF,Tyler Burton (42298465),Tyler Burton,42298465,PF/F/UTIL,3300,MEM@CHI 03/16/2026 08:00PM ET,MEM,9.75
,,,,,,,,,,,,,C,Taj Gibson (42298468),Taj Gibson,42298468,C/UTIL,3300,MEM@CHI 03/16/2026 08:00PM ET,MEM,7.25
,,,,,,,,,,,,,SF/PF,Ryan Dunn (42298435),Ryan Dunn,42298435,SF/PF/F/UTIL,3300,PHX@BOS 03/16/2026 07:30PM ET,PHX,15.35
,,,,,,,,,,,,,SG/SF,Corey Kispert (42298448),Corey Kispert,42298448,SG/SF/F/G/UTIL,3300,ORL@ATL 03/16/2026 07:00PM ET,ATL,16.57
,,,,,,,,,,,,,SF/PF,Jamal Cain (42298461),Jamal Cain,42298461,SF/PF/F/UTIL,3300,ORL@ATL 03/16/2026 07:00PM ET,ORL,5.41
,,,,,,,,,,,,,SG/SF,Ochai Agbaji (42298443),Ochai Agbaji,42298443,SG/SF/F/G/UTIL,3300,POR@BKN 03/16/2026 07:30PM ET,BKN,10.12
,,,,,,,,,,,,,SG/SF,Kris Murray (42298453),Kris Murray,42298453,SG/SF/F/G/UTIL,3300,POR@BKN 03/16/2026 07:30PM ET,POR,14.89
,,,,,,,,,,,,,SF/PF,Caleb Martin (42298439),Caleb Martin,42298439,SF/PF/F/UTIL,3300,DAL@NOP 03/16/2026 08:00PM ET,DAL,10.82
,,,,,,,,,,,,,SF/PF,Ron Harper Jr. (42298481),Ron Harper Jr.,42298481,SF/PF/F/UTIL,3200,PHX@BOS 03/16/2026 07:30PM ET,BOS,8.58
,,,,,,,,,,,,,PF/C,Jonathan Isaac (42298474),Jonathan Isaac,42298474,PF/C/F/UTIL,3200,ORL@ATL 03/16/2026 07:00PM ET,ORL,8.24
,,,,,,,,,,,,,PG,Gabe Vincent (42298478),Gabe Vincent,42298478,PG/G/UTIL,3200,ORL@ATL 03/16/2026 07:00PM ET,ATL,9.39
,,,,,,,,,,,,,PF/C,Sidy Cissoko (42298470),Sidy Cissoko,42298470,PF/C/F/UTIL,3200,POR@BKN 03/16/2026 07:30PM ET,POR,13.38
,,,,,,,,,,,,,SG/SF,Hugo Gonzalez (42298489),Hugo Gonzalez,42298489,SG/SF/F/G/UTIL,3100,PHX@BOS 03/16/2026 07:30PM ET,BOS,11.36
,,,,,,,,,,,,,C,Khaman Maluach (42298494),Khaman Maluach,42298494,C/UTIL,3100,PHX@BOS 03/16/2026 07:30PM ET,PHX,5.77
,,,,,,,,,,,,,PF/C,Mouhamed Gueye (42298485),Mouhamed Gueye,42298485,PF/C/F/UTIL,3100,ORL@ATL 03/16/2026 07:00PM ET,ATL,13.13
,,,,,,,,,,,,,SF/PF,Matisse Thybulle (42298496),Matisse Thybulle,42298496,SF/PF/F/UTIL,3100,POR@BKN 03/16/2026 07:30PM ET,POR,13
,,,,,,,,,,,,,PF,Jimmy Butler (42298550),Jimmy Butler,42298550,PF/F/UTIL,3000,GSW@WAS 03/16/2026 07:00PM ET,GSW,37.31
,,,,,,,,,,,,,PG,D'Angelo Russell (42298564),D'Angelo Russell,42298564,PG/G/UTIL,3000,GSW@WAS 03/16/2026 07:00PM ET,WAS,19.91
,,,,,,,,,,,,,SF,Cam Whitmore (42298575),Cam Whitmore,42298575,SF/F/UTIL,3000,GSW@WAS 03/16/2026 07:00PM ET,WAS,15.86
,,,,,,,,,,,,,PG/SG,Seth Curry (42298619),Seth Curry,42298619,PG/SG/G/UTIL,3000,GSW@WAS 03/16/2026 07:00PM ET,GSW,12.75
,,,,,,,,,,,,,SG,Kentavious Caldwell-Pope (42298513),Kentavious Caldwell-Pope,42298513,SG/G/UTIL,3000,MEM@CHI 03/16/2026 08:00PM ET,MEM,17.48
,,,,,,,,,,,,,C,Lachlan Olbrich (42298567),Lachlan Olbrich,42298567,C/UTIL,3000,MEM@CHI 03/16/2026 08:00PM ET,CHI,5.19
,,,,,,,,,,,,,C,Zach Edey (42298589),Zach Edey,42298589,C/UTIL,3000,MEM@CHI 03/16/2026 08:00PM ET,MEM,33.77
,,,,,,,,,,,,,SG,Scotty Pippen Jr. (42298593),Scotty Pippen Jr.,42298593,SG/G/UTIL,3000,MEM@CHI 03/16/2026 08:00PM ET,MEM,24.95
,,,,,,,,,,,,,C,Zach Collins (42298596),Zach Collins,42298596,C/UTIL,3000,MEM@CHI 03/16/2026 08:00PM ET,CHI,20.25
,,,,,,,,,,,,,PG,Yuki Kawamura (42298598),Yuki Kawamura,42298598,PG/G/UTIL,3000,MEM@CHI 03/16/2026 08:00PM ET,CHI,11.14
,,,,,,,,,,,,,SG,Mac McClung (42298616),Mac McClung,42298616,SG/G/UTIL,3000,MEM@CHI 03/16/2026 08:00PM ET,CHI,11.44
,,,,,,,,,,,,,SF,Noa Essengue (42298626),Noa Essengue,42298626,SF/F/UTIL,3000,MEM@CHI 03/16/2026 08:00PM ET,CHI,1
,,,,,,,,,,,,,C,Brandon Clarke (42298629),Brandon Clarke,42298629,C/UTIL,3000,MEM@CHI 03/16/2026 08:00PM ET,MEM,10.5
,,,,,,,,,,,,,SF/PF,Jordan Walsh (42298502),Jordan Walsh,42298502,SF/PF/F/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,BOS,13.89
,,,,,,,,,,,,,PF,Amir Coffey (42298537),Amir Coffey,42298537,PF/F/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,PHX,6.09
,,,,,,,,,,,,,PG,Jamaree Bouyea (42298553),Jamaree Bouyea,42298553,PG/G/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,PHX,13.57
,,,,,,,,,,,,,PF,Isaiah Livers (42298558),Isaiah Livers,42298558,PF/F/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,PHX,6.41
,,,,,,,,,,,,,C,Amari Williams (42298578),Amari Williams,42298578,C/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,BOS,4.88
,,,,,,,,,,,,,SG,Koby Brea (42298603),Koby Brea,42298603,SG/G/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,PHX,5
,,,,,,,,,,,,,SF,John Tonje (42298606),John Tonje,42298606,SF/F/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,BOS,2
,,,,,,,,,,,,,PG,Max Shulga (42298613),Max Shulga,42298613,PG/G/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,BOS,0
,,,,,,,,,,,,,C,CJ Huntley (42298651),CJ Huntley,42298651,C/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,PHX,0
,,,,,,,,,,,,,C,Charles Bassey (42308686),Charles Bassey,42308686,C/UTIL,3000,PHX@BOS 03/16/2026 07:30PM ET,BOS,12.08
,,,,,,,,,,,,,PG,Keaton Wallace (42298516),Keaton Wallace,42298516,PG/G/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ATL,8.86
,,,,,,,,,,,,,SG/SF,Buddy Hield (42298523),Buddy Hield,42298523,SG/SF/F/G/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ATL,15.38
,,,,,,,,,,,,,PG/SG,Jase Richardson (42298528),Jase Richardson,42298528,PG/SG/G/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ORL,8.53
,,,,,,,,,,,,,PF/C,Asa Newell (42298540),Asa Newell,42298540,PF/C/F/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ATL,9.82
,,,,,,,,,,,,,C,Christian Koloko (42298569),Christian Koloko,42298569,C/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ATL,10.16
,,,,,,,,,,,,,PG,RayJ Dennis (42298582),RayJ Dennis,42298582,PG/G/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ATL,9.52
,,,,,,,,,,,,,SF/PF,Caleb Houstan (42298585),Caleb Houstan,42298585,SF/PF/F/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ATL,2.96
,,,,,,,,,,,,,PG,Keshon Gilbert (42298623),Keshon Gilbert,42298623,PG/G/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ATL,8.58
,,,,,,,,,,,,,PG,Alex Morales (42298646),Alex Morales,42298646,PG/G/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ORL,0
,,,,,,,,,,,,,C,Colin Castleton (42298649),Colin Castleton,42298649,C/UTIL,3000,ORL@ATL 03/16/2026 07:00PM ET,ORL,0
,,,,,,,,,,,,,C,Day'Ron Sharpe (42298500),Day'Ron Sharpe,42298500,C/UTIL,3000,POR@BKN 03/16/2026 07:30PM ET,BKN,22.88
,,,,,,,,,,,,,PG,Egor Demin (42298506),Egor Demin,42298506,PG/G/UTIL,3000,POR@BKN 03/16/2026 07:30PM ET,BKN,21.93
,,,,,,,,,,,,,PG/SG,Caleb Love (42298519),Caleb Love,42298519,PG/SG/G/UTIL,3000,POR@BKN 03/16/2026 07:30PM ET,POR,20.23
,,,,,,,,,,,,,C,Hansen Yang (42298544),Hansen Yang,42298544,C/UTIL,3000,POR@BKN 03/16/2026 07:30PM ET,POR,5.18
,,,,,,,,,,,,,SG,Chris Youngblood (42298561),Chris Youngblood,42298561,SG/G/UTIL,3000,POR@BKN 03/16/2026 07:30PM ET,POR,4.30
,,,,,,,,,,,,,PG/SG,Blake Wesley (42298571),Blake Wesley,42298571,PG/SG/G/UTIL,3000,POR@BKN 03/16/2026 07:30PM ET,POR,11.92
,,,,,,,,,,,,,PG,Malachi Smith (42298640),Malachi Smith,42298640,PG/G/UTIL,3000,POR@BKN 03/16/2026 07:30PM ET,BKN,0
,,,,,,,,,,,,,PF,Jayson Kent (42298653),Jayson Kent,42298653,PF/F/UTIL,3000,POR@BKN 03/16/2026 07:30PM ET,POR,0
,,,,,,,,,,,,,PG,Damian Lillard (42298656),Damian Lillard,42298656,PG/G/UTIL,3000,POR@BKN 03/16/2026 07:30PM ET,POR,0
,,,,,,,,,,,,,SF/PF,Micah Peavy (42298509),Micah Peavy,42298509,SF/PF/F/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,NOP,9.18
,,,,,,,,,,,,,SG/SF,Jordan Hawkins (42298532),Jordan Hawkins,42298532,SG/SF/F/G/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,NOP,7.40
,,,,,,,,,,,,,PG/SG,AJ Johnson (42298546),AJ Johnson,42298546,PG/SG/G/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,DAL,5.75
,,,,,,,,,,,,,C,Moussa Cisse (42298556),Moussa Cisse,42298556,C/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,DAL,12.75
,,,,,,,,,,,,,C,Kevon Looney (42298580),Kevon Looney,42298580,C/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,NOP,13.11
,,,,,,,,,,,,,C,DeAndre Jordan (42298591),DeAndre Jordan,42298591,C/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,NOP,15.05
,,,,,,,,,,,,,C,Dereck Lively II (42298601),Dereck Lively II,42298601,C/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,DAL,17.25
,,,,,,,,,,,,,PG/SG,Trey Alexander (42298609),Trey Alexander,42298609,PG/SG/G/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,NOP,6.2
,,,,,,,,,,,,,C,Hunter Dickinson (42298631),Hunter Dickinson,42298631,C/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,NOP,3
,,,,,,,,,,,,,SG/SF,John Poulakidas (42298633),John Poulakidas,42298633,SG/SF/F/G/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,DAL,12.5
,,,,,,,,,,,,,C,Tyler Smith (42298638),Tyler Smith,42298638,C/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,DAL,0.75
,,,,,,,,,,,,,PF,Josh Oduro (42298643),Josh Oduro,42298643,PF/F/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,NOP,0
,,,,,,,,,,,,,PG,Kyrie Irving (42298659),Kyrie Irving,42298659,PG/G/UTIL,3000,DAL@NOP 03/16/2026 08:00PM ET,DAL,0
